wikidata_id,orgid,organization,code,division,department,email
,124090,"Botanical Survey of India, Andaman & Nicobar Circle",PBL,,,
,126948,Virginia Military Institute,VMIL,,Biology Department,
,169835,Universidade Federal do Oeste do Pará,PA,Instituto de Biodiversidade e Florestas,Laboratório de Sistemática Vegetal,
,124963,"Isle Royale National Park, U.S. Department of the Interior, National Park Service",IRP,,,
,125489,Natural History Museum,SEY,,,
,125503,Naturkundemuseum im Ottoneum,KASSEL,Phytowissenschaftliche Abteilung,,
,123969,Antigua Estación Experimental Agronómica,SV,Instituto de Agronomía,,
,125358,Museum and Art Gallery,DCR,Doncaster Metropolitan Borough,,
,126021,South Plains College,SPLT,,Science Department,
,126804,University of Rhode Island,KIRI,,Department of Biological Sciences,
,126224,Universidad Autónoma Chapingo,CHAP,División de Ciencias Forestales,,
,125022,John Innes Horticultural Institution,BFY,,,
,126091,Sunderland Museum,SUN,,,
,125156,Limerick Field Club,LIMFC,,,
,126920,Uppsala University,UPSV,Evolutionary Biology Centre,Department of Plant Ecology,
,125837,Rutgers University,RCAM,,Biology Department,
,125342,Museo Friulano di Storia Naturale,UDM,Sezione di Botanica,,
,226491,Hopland Research & Extension Center,HREC,,,
,125636,Oxford Botanic Garden,BAP,Bureau of Animal Populations,,
,126968,Wadham College,OXD,Library,,
,125198,Magdalen College Library,OXM,,,
,124322,Columbia University,LGO,Lamont-Doherty Geological Observatory,,
,125163,Literary and Antiquarian Society of Perth,PTHL,,,
,125677,Perthshire Society of Natural Science,PRH,,,
,124289,City Museum,PER,,,
,125313,Murray Royal Institution,MRI,,,
,126179,Transvaal Museum,TRV,,,
,125318,Musée du Québec,QMP,Section des sciences naturelles,,
,125783,Richmond Naturalists' Field Club,RCN,,,
,126704,University of Latvia,RIGG,Botanical Garden,,
,125361,Museum and Art Gallery,WSM,,,
,124463,Eidgenössische Technische Hochschule ETH,RUEB,Geobotanisches Institut,,
,124003,Austin High School,AHS,,,
,123995,Ashton-under-Lyne Linnean Botanical Society,ASTN,,,
,124023,Baysgarth Museum,BUHR,Glanford Borough Council,,
,124017,Barton-on-Humber Grammar School,BUHGC,,,
,124741,Herbarium Bogoriense,BZ,,,
,124113,Bridge of Allan Museum,BEAN,,,
,124150,Burton-upon-Trent Natural History and Archaeological Society,BTT,,,
,126078,Stowlangtoft Hall,SFT,,,
,124814,INIFAP,ICF,,,
,124571,Fort Qu'Appelle Herbarium,FQH,,,
,124306,Colegio del Sagrado Corazón,CSC,,,
,124951,International Red Locust Control Service,LCS,,,
,125217,"Marischal College, University of Aberdeen",ABDM,,,
,125558,North Scotland College of Agriculture,NSCA,,,
,124228,Centre ORSTOM d'Adiopodoume,ABI,,,
,123875,Aboyne Castle,ABO,,,
,125581,Oak Hill Park Museum,ACC,,,
,123945,Alnwick Scientific and Mechanical Institution,ALK,,,
,123944,Alnwick Botanical Society,ALN,,,
,124364,Curtis Museum,ALT,Alton Natural History Society,,
,123992,"Art Gallery and Museum, Central Library",ALM,,,
,126929,U.S. Soil Conservation Service,USSC,,,
,124112,Brathay Field Centre for Exploration and Field Studies,AMDE,,,
,123950,Amherst College,AC,,,
,123951,Ampleforth College,AMP,,,
,123977,Arbroath Scientific and Natural History Society,ARBH,,,
,123987,Armagh Field Naturalists' Society,ARMFN,,,
,124345,County Museum,ARM,,,
,126006,Southeastern Forest Experiment Station,SEFES,,,
,127013,West of Scotland College of Agriculture,GW,,Botany Department,
,125493,Nature Conservancy Council,NCCB,,,
,124014,Banff Museum,BNFF,North East of Scotland Library Service Museum Service,,
,127035,Willis Museum and Art Gallery,BAE,Hampshire County Council,,
,124019,Bath Natural History Society,BATH,,,
,125498,Naturforschende Gesellschaft Isis,ISIS,,,
,124026,Bedford Public Library,BEDPL,Bedfordshire County Council,,
,124027,Bedfordshire Natural History Society,BFD,,,
,124035,Belfast Natural History and Philosophical Society,BLT,,,
,125749,Queen's University,BFT,,Botany Department,
,124036,Belfast Naturalists' Field Club,BST,,,
,124071,Borough of Beverley Art Gallery and Museum,BEV,,,
,127034,Williamson Art Gallery and Museum,BHD,,,
,124054,Birmingham Central Technical College,BCTC,,,
,124052,Birmingham and Midland Institute,BRMI,,,
,124056,Birmingham Natural History and Microscopical Society,BIM,,,
,124060,Blackburn Museum and Art Gallery,BCKN,Blackburn District Council,,
,124667,Guermonprez Museum,BOR,,,
,124065,Bolton Botanical Society,BONB,,,
,124066,Bolton Linnean Society,BONL,,,
,124070,Boothstown Botanical Society,BSTN,,,
,126052,Station Centrale de Boukoko,SCB,,,
,126608,University of Bradford,BDD,Bradford Natural History and Microscopical Society,Biology Department,
,125974,Slovenskej akadémie vied,BAV,Botanicky ústav,,
,124959,Irish Biogeographical Society,IBS,,,
,124832,Institut de Recherches Scientifiques au Congo,IRSC,,,
,124118,Brighton Natural History Society,BRTN,,,
,125857,Salgues Foundation of Brignoles for Development of Biological Sciences,SFB,,,
,124125,Bristol Museum and Philosophical Society,BMPS,,,
,125119,La Retraite (Convent School),LRTE,,,
,124299,Clifton College,CFN,Clifton College Natural History Society,Biology Department,
,125824,Royal Latin School,RLS,,,
,124242,"Chandos House, Stowe School",SWE,,,
,124185,Canisius College,CANI,,Biology Department,
,124145,Bungay Botanical Society,BYBS,,,
,124172,Calke Abbey,CKE,,,
,124575,Free Library and Museum,CTN,,,
,124911,Instituto Geobiológico La Salle,SALLE,,,
,124186,Canterbury Literary and Philosophical Institution,CTY,Museum,,
,124190,Cardiff Museum,CDFM,Cardiff Corporation,,
,125885,Selkirk College,SCCBC,,Environmental Sciences and Technologies Department,
,124201,Cawdor Castle,CWDR,,,
,126882,University of Virginia,VA,,,
,125164,Literary and Philosophical Institution of Chatham,CLI,,,
,124254,Cheltenham College,CHT,,,
,124255,Cheltenham College for Boys,CHELB,,,
,124257,Cheltenham Naturalists' Association,CNM,,,
,124256,Cheltenham Grammar School,CHL,,,
,124264,Chichester District Museum,CCR,,,
,125304,Mount Makulu Research Station,ZAD,,,
,124187,Canterbury Museum,CANTY,,,
,125764,Red House Museum,RHMC,Hampshire County Museums Service,,
,124296,Cleveland Literary and Philosophical Society,CLD,,,
,126379,Universidad Mayor de San Simón,COCH,,Departamento de Botánica,
,124303,Coastal Ecology Research Station,CLEY,Institute of Terrestrial Ecology,,
,126730,University of Miami,BUS,,Biology Department,
,124339,Corchester School,CORB,,,
,126567,University College,CRK,,Plant Science Department,
,124273,Chipstead Valley Primary School,CYN,Croydon Natural History and Scientific Society Limited,,
,124348,Coventry and District Natural History Society,COVY,,,
,126967,Wabash College,WAB,,Biological Sciences Department,
,124359,Crosby Library,CRBY,,,
,125842,Saint Bernard Abbey,SB,,,
,124889,Instituto de Biologia do Paraná,IBP,,,
,124371,Darlington and Teesdale Naturalists' Field Club,DTN,,,
,124372,Darlington Museum,DGN,Borough of Darlington,,
,124375,Darwen Library,DWN,,,
,124377,Davidson College,DCH,,Biology Department,
,125960,Silvicultural Research Station,NYAS,,,
,124319,Colorado State Museum,COLOM,,,
,125026,Juniper Hall Field Centre,DKG,Field Studies Council,,
,125982,Société d'Agriculture Sciences et Arts,DO,,,
,124428,Dover Corporation Museum,DVR,,,
,126568,University College,DBC,,Botany Department,
,125819,Royal Dublin Society,RDS,,,
,125619,Ordnance Survey of Ireland,OSI,,,
,125385,Museum of Irish Industry,MII,,,
,123919,Agriculture Department,IRDA,,,
,124430,Dublin Naturalists' Field Club,DUBN,,,
,125491,Natural History Society of Dublin,NHSD,,,
,124431,Dudley and Midland Geological and Scientific Society and Field Club,DLY,,,
,124434,Dumfries and Galloway Natural History and Antiquarian Society,DFS,,,
,124437,Dundee Naturalists' Society,DNS,,,
,126989,Watt Institute,DENA,Dundee Naturalists' Association,,
,125631,Otago Museum,OTM,,,
,126925,Ushaw College,USH,,,
,126921,Upsala College,EONJ,,Biology Department,
,124458,Edinburgh Natural History Society,EBNHS,,,
,125495,Nature Conservancy Council,NCCE,,,
,125877,Scottish Natural History Society,ESNHS,,,
,126656,University of Edinburgh,EGH,,,
,125696,Plinian Society,EDH,,,
,124087,Botanical Society of Edinburgh,EBH,,,
,124615,George Heriot's School,GHS,,Biology Department,
,123933,Aldenham School,ELS,,Biology Department,
,124483,Epsom College Museum,EPM,,,
,125562,Northwestern University,NWU,,Botany Department,
,124618,Georgia Agricultural Experiment Station,GAES,,,
,124531,Folkestone Natural History Society,FKEN,,,
,124566,"Forfar Museum and Art Gallery, Meffan Institute",FFR,Angus District Council,,
,125798,Rocky Mountain Forest and Range Experiment Station,USFS,,,
,127012,West Highland Museum,WHM,,,
,125219,Maritimes Forest Research Centre,AFES,Environmental Management,,
,125355,Museu de História Natural do Seminário do Funchal,MADS,,,
,124533,Folk Museum,GAI,,,
,124624,Gezira Research Station,GRS,Agricultural Research Division,,
,125686,Philosophical Society,GO,,,
,124443,Eastern Botanical Society of Glasgow,GAW,,,
,124302,Clydebank High School,GOW,,,
,123955,Andersonian Naturalists' Society,GLW,,,
,125492,Natural History Society of Glasglow,GLO,,,
,126184,Trinity College,GLG,,,
,124088,Botanical Society of Glasgow,GGW,,,
,124626,Glasgow Society of Field Naturalists',GSO,,,
,126830,University of Strathclyde,GGO,,Biology Department,
,125759,Rappahannock Community College,GLEN,Middle Peninsula and Northern Neck Plant Classification Depository,,
,125673,Peper Harow,PHG,,,
,124630,Goole Scientific Society,GOE,,,
,124640,Grantham Museum,GTM,Lincolnshire County Council,,
,124401,DePauw University,DPU,,Botany and Bacteriology Department,
,124646,Grimsby Arts and Natural History,GBY,,,
,124668,Guildford Museum,SNHS,Surrey Natural History Society,,
,124669,Guildford Natural History Society,GNHS,,,
,124890,Instituto de Biología,HABE,,Departamento de Ecología,
,124903,Instituto de Segunda Enseñanza de La Habana,IH,,,
,124305,Colegio de La Salle,LS,,,
,124519,Fine Arts Museum,HUL,Hull Literary and Philosophical Society,,
,125469,National Research Council of Canada,NRCC,Institute for Marine Biosciences,,
,125578,Nova Scotia Research Foundation,NSRF,Seaweeds Division,,
,124688,Halifax Literary and Philosophical Society,HALX,,,
,124016,Bankfield Museum and Art Gallery,HFX,Metropolitan Borough of Calderdale,,
,124038,Belle Vue Museum,HAX,Central Library,,
,125635,Ovenden Naturalists' Society,HLX,,,
,124106,Botanische Station,HALLST,,,
,124689,"Hamilton College, McMaster University",MCM,,Biology Department,
,125731,"Public Museum and Art Gallery, St. John's Place",HGS,Hastings Borough Council,,
,124719,Hebden Bridge Literary and Scientific Society,HEB,,,
,124310,College Natural History Society,HTD,Haileybury and Imperial Services,,
,124747,Heywood and District Botanical Society,HYD,,,
,124751,Hitchin Museum,HTN,Hitchin Urban District Council,,
,124760,Hollinwood Botanists' and Field Naturalists' Society,HWD,,,
,124768,Horsham Museum,HMM,Horsham District Council,,
,124317,Collyer's School,HHM,,,
,126676,University of Houston,HOU,,,
,124771,Houston Museum of Natural Science,HPM,,,
,124780,Huddersfield Technical College,HDTC,,,
,125407,Muzeum v Humpolci,HUMP,,,
,125538,Norris Museum and Library,HTGN,,,
,124356,Crispus Attucks High School,CAHS,,,
,124953,Invergordon Academy,INVA,,,
,125807,Royal Academy,ISRA,,,
,124957,Ipswich Literary Institute,IPSLI,,,
,124343,Cornell University,CU,,,
,123990,"Arnold Arboretum, Harvard University",AAH,,,
,126901,University of Wisconsin,UWJ,,Biology Department,
,124298,Cliffe Castle Art Gallery and Museum,KGY,Borough of Keighley,,
,126202,Tweedside Physical and Antiquarian Society Museum,KSO,,,
,127010,Westfield Museum,KRG,Kettering Borough Council,,
,125586,Oblastní muzeum Kutná Hora,OMKH,,,
,125251,Michigan Technological University,MCTF,Ford Forestry Center,,
,125165,Literary and Scientific Institution of Kilkenny,KNY,,,
,125195,Lynn Museum and Art Gallery,KLN,,,
,125780,R. G. Kar Medical College,CMY,,Botany Department,
,123947,American Plant Life Society,TRA,,,
,125632,Otero Junior College,LAJC,,Biology Department,
,125850,Saint Vincent College,LAT,,Biology Department,
,124376,Dauntsey's School,LAV,,,
,125134,Leamington College for Girls,LCG,,,
,125138,Leeds Philosophical and Literary Society Museum,LDSP,,,
,125137,Leeds Naturalists' Club,LDSN,,,
,126569,University College of Ghana,GCM,,,
,125144,Letchworth Museum and Art Gallery,LCH,,,
,125145,Letchworth Naturalist's Society,LET,,,
,125146,"Lewes Museum, Ann of Cleves House",LWSM,Sussex Archaeological Society,,
,125159,Lincolnshire Naturalists' Union,LLN,,,
,124602,Fürstin-Eugenie-Institut für Arzneipflanzenforschung,ERZ,,,
,124907,Instituto dos Cereais,CRCA,,,
,125275,Missão de Estudos Agronómicos do Ultramar,LISM,,,
,125166,Littlehampton Museum,LPN,Arun District Council,,
,125167,Liverpool Botanic Garden,LIVC,,,
,126151,The University,LPL,Liverpool Botanical Society,,
,124708,Hartley Botanical Laboratories,LIVU,,,
,125169,Liverpool Naturalists' Field Club,LIVNFC,,,
,124750,Historic Society of Lancashire and Cheshire,LRL,,,
,126085,St. Thomas's Hospital Medical School Library,STT,,,
,125148,Leyton Reference Library,LEYN,London Borough of Waltham Forest,,
,125683,Pharmaceutical Society of Great Britain,PHA,,,
,125876,School of Medicine for Women,SMW,,,
,125966,Sir John Cass College,SJC,,Chemistry and Biology Department,
,127032,Willesden Borough Council,WCL,Central Reference Library,,
,126178,Toynbee Natural History Society,TENHS,,,
,125746,Queen Mary College,QMC,School of Biological Sciences,,
,126080,Streatham Antiquarian and Natural History Society,STM,,,
,126203,Twickenham Girls' School,TKNM,,,
,124084,Botanical Record Club,BRC,,,
,127020,Whitechapel Museum,WPL,,,
,126056,St. Bartholomew's Hospital,STB,,,
,125816,Royal Botanic Society,RBS,,,
,126712,"University of London, Westfield College",WCE,,Biology Department,
,124130,British (Empire) Naturalists' Association,BNA,,,
,124072,Borough of Erith Museum,ERH,,,
,125987,Society of Apothecaries,APH,,,
,125826,Royal Medico-Botanical Society,MBSL,,,
,124089,Botanical Society of London,BSL,,,
,124693,Hampstead Scientific Society,HPD,,,
,125825,Royal Medical Society of London,MSL,,,
,125986,Society of Amateur Botanists,SAB,,,
,124692,Hampstead Public Library,HPDL,,,
,126711,"University of London, King's College",KCS,,Botany Department,
,125179,Loughborough Public Library,LGBH,Leicestershire County Council,,
,125187,Ludlow Natural History Society,LUD,,,
,125303,Mount Makulu Pasture Research Station,MPR,,,
,125374,Museum Dzieduszyckich,LWD,,,
,123904,Agricultural Experiment Station,LWA,,,
,124538,Forest Products Laboratory,MAD,Center for Wood Anatomy Research,,
,124536,Forest Products Laboratory,BFDL,Center for Forest Mycology Research,,
,124909,Instituto Forestal de la Moncloa,MAFST,,,
,125205,Malham Tarn Field Centre,MHM,Field Studies Council,,
,125207,Malton Field Naturalists' Society,MTN,,,
,125730,Public Library,MVN,Malvern Urban District Council,,
,124927,Instituto Pedagógico de Varones,MGA,,,
,125211,Manchester Natural History Society,MNHS,,,
,125210,Manchester Literary and Philosophical Society,MCR,,,
,125209,Manchester Botanical and Horticultural Society,MCRBS,,,
,125208,Manchester Banksian Society,MBS,,,
,126018,Southern Research Station,MFB,Forest Pathology Laboratory,,
,125881,Secçáo de Botânica e Ecologia,LM,Direcçáo de Agricultura e Florestas,,
,124899,Instituto de Investigação Científica de Mozambique,LMC,,,
,124230,Centro de Investigação Científica Algodoeira,LMJ,Cotton Research Centre,Botanical Department,
,125221,Marlborough College,MBH,Natural History Society,,
,125972,Slovak National Museum,TM,,,
,124904,Instituto de Segunda Enseñanza de Matanzas,IM,,,
,126306,Universidad de Puerto Rico,FPDB,Ficoteca Puertorriqueña,Departamento de Ciencias Marinas,
,126205,Tynside Naturalists' Field Club,TNFC,,,
,124234,Centro Nacional de Tecnologia Agropecuaria,TECLA,,,
,124385,Delta Waterfowl and Wetlands Research Station,DELTA,,,
,124950,International Red Locust Control Organization for Central and Southern Africa,LCO,,,
,126194,Tufts University,TUFT,,Biology Department,
,125335,Museo de Historia Natural de la Ciudad de México,MEX,,,
,125254,Middleton Botanical Society,MDTN,,,
,126996,Wesleyan University,WECO,,Biology Department,
,125256,Mildenhall and District Museum,MHL,,,
,125259,Milton College,MCW,,Biology Department,
,125260,Milton Keynes Development Corporation,MNKS,,,
,125682,Pfeiffer University,PFC,,Biology Department,
,125264,Ministerio de Ganadería y Agricultura,MVDA,Dirección de Agronomía,,
,126053,Station Internationale de Géobotanique Méditerranéenne et Alpine,SIGMA,,,
,124995,Jardin botanique de Montréal,MTJB,,,
,125290,Montrose Natural History and Antiquarian Society,MSEN,,,
,125123,Lathallan Preparatory School,MLS,,,
,125300,Mossley Botanical Society,MSLY,,,
,126922,U.S. Army Natick Research and Development Center,QM,"Material Protection and Biotechnology Division, Science and Advanced Technology Directorate",,
,125573,Notre Dame University,NLSN,,Biological Sciences Department,
,124427,"Douglass College, Rutgers University",RUT,,Biological Sciences Department,
,127073,Yale University,Y,School of Forestry,Samuel Jones Record Memorial Collection,
,126647,University of Delaware,DELS,Society of Natural History of Delaware,Plant Science Department,
,125517,Newbury District Museum,NBY,Newbury District Council,,
,125685,Philosophical Institution of Newport,PIN,,,
,125536,Njala University College,NJ,,,
,125571,Norwich Botanical Society,NCH,,,
,125575,Nottingham Literary and Philosophical Society,NLPS,,,
,126774,University of Nottingham,NOTM,Library,Manuscript Department,
,125610,Oldham Microscopical and Natural History Society,OHM,,,
,125988,Society of Botanists,OSB,,,
,125624,Orton Hall,ORTN,,,
,125630,Oswestry Museum,OSWY,,,
,125645,Paisley Philosophical Institute,PAY,,,
,125672,Penzance Library,PZL,,,
,125667,Penlee House Museum,PNZ,Penzance Natural History and Antiquarian Society,,
,127023,Whiteshell Nuclear Research Establishment,WNRE,Environmental Research Branch,,
,124628,Goddard College,FMH,Natural History Museum,,
,125698,Plymouth Institution and Athenaeum,PLY,,,
,125306,F. R. Long Herbarium,MPE,,,
,125714,Portsmouth Philosophical Society,PMHPS,,,
,125719,Prairie View A & M University,TPV,,Biology Department,
,124467,Ellesmere Chambers,PTN,Preston Scientific Society,,
,125722,Prestwich and Pilkington Botanical Society,PCH,,,
,124888,"Instituto Colombiano Agropecuario, Tibaitatá",ICA,,,
,126012,Southend Institute,SDI,,,
,125726,Prittlewell Priory Museum,STD,Southend-on-Sea Borough Council,,
,126076,Stoke-on-Trent Athenaeum,STK,,,
,125755,Ramsey Public Library,RAM,,,
,124403,Desert Experiment Station of the W.I.R.,REP,,,
,125075,Koninklijke Shell (Shell Research N.V.),SRR,,,
,125785,Ripon Mechanics Institute,RPN,,,
,125792,Rochdale Field Naturalists' Society,RFNS,,,
,125791,Rochdale Equitable Pioneers' Memorial Museum,RCHP,,,
,125795,Rochester Public Museum,RCR,,,
,125060,King's College,KCFS,Red House Field Station,,
,124690,Hampshire and Isle of Wight Naturalists' Trust Ltd.,HIWNT,,,
,125732,Public Reference Library,RHM,Rotherham Naturalists' Society,,
,124151,"Buteshire Natural History Society, The Museum",RSY,,,
,126662,University of Glasgow Field Station,RWDN,,,
,125833,Rugby School Natural History Society Museum,RGY,,,
,124442,East Divisional Library,RBY,Warwickshire County Council,,
,125255,Mid-Staffordshire Field Club,RUY,,,
,125875,School of Art,RYD,Isle of Wight Philosophical and Scientific Society,,
,125840,Saffron Walden Horticultural Society,SWNHS,,,
,126057,St. Beuno's College,STASH,,,
,124108,"Boys' Grammar School, Victoria College",JEY,,,
,125360,Museum and Art Gallery of La Société Jersiaise,JSY,,,
,125000,Jersey College for Girls,JRY,,,
,124962,"Island Museum, Candie Gardens",STPCM,,,
,125121,"La Société Guernesiaise, Priaulx Library",STP,,,
,125855,Salford Natural History Museum,SALFM,Salford Museum of Mining,Salford City Council,
,125856,Salford Royal Free Museum and Library,SALF,,,
,125112,Landesherbar von Salzburg,SZL,,,
,124623,Gesneriad Research Foundation,GES,,,
,126808,University of Saskatchewan,SAFB,Forest Pathology Laboratory,Forestry Department,
,123872,Abitibi Paper Company,AWL,Abitibi Woodlands Laboratory,,
,124109,Boys' High School,SCARB,,,
,125874,Scarborough Philosophical and Archaeological Society Museum,SCPS,,,
,126974,Wakes Museum,WMS,,,
,125925,Sheffield Naturalists' Club,SFDN,,,
,125924,Sheffield Literary and Philosophical Society,SFDL,,,
,125941,Shropshire and North Wales Natural History and Antiquarian Society,SNW,,,
,125938,Shrewsbury Public Library,SHYP,,,
,125942,Shropshire Archaeological and Natural History Society,SHYAN,,,
,125937,Shrewsbury Natural History Society,SHYN,,,
,125392,Museum of Staffordshire County,SGBH,,,
,124583,Friend's School,SCT,,,
,125967,Skokholm Field Centre,SKM,Field Studies Council,,
,125687,Philosophical Society of Southampton,PSS,,,
,126022,Southport Scientific Society,SPTS,,,
,126147,The Museum,SGGS,Spalding Gentlemens' Society,,
,126039,Stalybridge Library,SGEL,,,
,126040,Stamford Park Museum,SGE,,,
,126828,University of Stirling,STIU,,Biological Sciences Department,
,125652,Palynological Laboratory,SPL,,,
,126100,Swedish Museum of Natural History,SPA,Section for Palaeobotany,,
,126092,Sunderland Natural History and Antiquarian Society,SUND,,,
,126101,Sweet Briar College,SWBR,,Biology Department,
,126102,Swinton and Pendlebury Botanical Society,SWTN,,,
,126104,Syracuse University,SYR,,Plant Sciences Department,
,125142,Lenin State University,TAK,Biology-Soils Faculty,,
,124062,Blackland Experiment Station,TEXA,,,
,123954,Ancient House Museum,TRD,,,
,124645,Grierson Museum,THL,,,
,123907,Agricultural Research Centre,TIK,,Plant Pathology Department,
,126161,Todmorden Free Library,TOD,,,
,126160,Todmorden Botanical Society,TDN,,,
,125873,"Scarborough College, University of Toronto",TRTS,,Botany Department,
,127092,York University,YUTO,,Biology Department,
,124506,Faculté de Médecine,TLP,,Chaire de Botanique,
,124005,Australian Institute of Marine Science,AIMS,,,
,125822,Royal Horticultural Society of Cornwall,TRO,,,
,126953,Vlastivedné muzeum Trutnov,TRM,,,
,126200,Turvey Abbey,TVY,,,
,126204,Tyldesley Natural History Society,TDY,,,
,126918,Uppingham School Museum,UPP,,,
,125056,Khosrov State Reserve,KSRV,,,
,124558,Forestry Department,VICF,,,
,123920,Agriculture Department,VICA,,,
,124426,Douglas Ecological Consultants,DECV,,,
,126972,Wakefield Museum,WKD,Wakefield Metropolitan District Council,,
,126971,Wakefield Grammar School,WKDS,,,
,124871,Institute of Terrestrial Ecology,WRHM,,,
,126977,Warrington Field Naturalists' Club,WRNFC,,,
,127002,Western Illinois University,WARK,,Biology Department,
,124197,Catholic University of America,LCU,,,
,126993,Wellesley College,WELC,,Biological Sciences Department,
,127022,Whitehaven Scientific Association,WVN,,,
,127021,Whitehaven Museum,WHN,Copeland Borough Council,,
,127037,Winchester City Museum,WCR,Winchester City Council,,
,127039,Winchester Public Library,WCRP,,,
,124553,Forestry and Rural Developmen Department,WINF,Forest Research Laboratory,,
,124554,Forestry and Rural Developmen Department,WINFM,Forest Research Laboratory,,
,127047,Worcestershire Natural History Society Museum,WOSNH,,,
,127082,Yeovil Museum,YEO,Yeovil District Council,,
,126940,Veterinarian Institute of Armenia,VIAY,,Botany Department,
,127091,Yorkshire Naturalists' Trust Limited,YKN,,,
,124394,Department of Agriculture,ZOM,,,
,124288,City Museum,CVM,,Natural History Department,
,123905,Agricultural Museum of Praha,OH,,,
,126916,Univerzity Palackého,OLP,Pedagogická fakulta,Katedra biologie,
,126963,Vrije Universiteit,AVU,,Department of Systematic Botany,
,124860,Institute of Horticultural Plant Breeding,WAHO,,Department of Biosystematics,
,126482,Universitat de Barcelona,BCF,Facultat de Farmàcia,Laboratori de Botànica,
,126271,Universidad de Granada,GDAC,Facultad de Ciencias,"Departamento de Biología Vegetal, Botánica",
,124985,Jardín Botánico Canario Viera y Clavijo,JVC,,,
,126352,Universidade Federal de Ouro Prêto,EM,Escola de Minas,,
,126308,Universidad de Salamanca,SALAF,Facultad de Farmacia,,
,126315,Universidad de Sevilla,SEVF,Facultad de Farmacia,Departamento de Botánica,
,126317,Universidad de València,VF,Facultat de Farmàcia,"Departamento de Biológia Vegetal, Botànica",
,124905,Instituto de Zootecnia,RIZ,Seção Experimental de Agrostologia,,
,124925,Instituto Paranaense de Botânica,IPB,,,
,124418,Divisão de Museu de História Natural,PKDC,Secretaria Municipal do Meio Ambiente,,
,126562,"Universiti Kebangsaan Malaysia, Kampus Sabah",UKMS,,,
,124902,Instituto de Pesquisas de Recursos Naturais Renováveis,IPRN,Secretaria da Agricultura,,
,124594,Fundação Estadual de Pesquisa Agropecuária,SFPA,,,
,124817,INIREB,YUC,Centro de Recursos Bióticos de la Península de Yucatán,,
,126528,Université de la Réunion,STCR,Laboratoire de Biologie Végétale,,
,126573,University of Aberdeen,ABDF,,Forestry Department,
,125098,Laboratoire de Génétique des Plantes Supérieures,BRGE,,,
,124009,Bacup Natural History Society,BAC,,,
,126885,University of Wales,BRSN,Institute of Terrestrial Ecology,Bangor Research Unit,
,126604,University of Birmingham,BHM,School of Continuing Studies,Birmingham Natural Society,
,126612,University of Bristol,WRO,Weed Research Division,Long Ashton Research Station,
,125894,Sexey's School,BRN,,,
,126571,University College,UCSW,,Botany Department,
,126478,Universität Basel,PAE,Botanisches Institut,,
,125995,South African Museum Herbarium,SAM,,,
,126994,Wellington College,CRO,Natural History Society Museum,,
,126487,Universität Duisburg,DUIS,Gesamthochschule,"Fachbereich 6, Botanik",
,124833,Institut der Technische Hochschule (RWTH),HAQ,"Botanik, Molekulargenetik",Institut für Biologie I,
,124143,Bundesamt für Naturschutz,ZVS,,,
,126515,Universität Würzburg,WBM,Julius-von-Sachs-Institut für Biowissenschaften mit Botanischem Garten,,
,125442,National Botanic Gardens,DUB,,,
,124353,Crichton Royal Institution Museum,DMFS,,,
,126481,Universitat de Barcelona,BCC,Facultat de Biologia,Departament de Biologia Vegetal (Unitat de Botànica),
,124885,Instituto Asturiano de Taxonomía y Ecología Vegetal,IBA,,,
,126485,Universitat de València,VAB,Facultad de Cièncias Biològiques,Departamento de Biología Vegetal,
,126561,Université Pierre et Marie Curie,ARAGO,Laboratoire Arago,,
,126543,Université du Maine,LEMA,Académie de Nantes,,
,125096,Laboratoire de Biologie Végétale et d'Ecologie Forestière,ABT,,,
,125994,South African Forestry Research Institute,PRF,,Environment Affairs Department,
,123942,All-Russian Research Institute of Plant Protection,LEP,,,
,126634,University of Cape Town,CT,,Botany Department,
,124870,Institute of Terrestrial Ecology,ACHE,,,
,126499,Universität Hannover,HAN,Institut für Geobotanik,,
,123903,Agricultural Development and Advisory Service,PPL,"Ministry of Agriculture, Fisheries and Food",Harpenden Laboratory,
,124436,Dunbartonshire Natural History Society,DHNS,,,
,126674,University of Helsinki,KYM,Botanical Museum,Kymenlaakso Society of Naturalists,
,126672,University of Helsinki,HPP,,Plant Biology Department,
,126673,University of Helsinki,HSI,,Silviculture Department,
,126671,University of Helsinki,HHC,,Horticulture Department,
,126966,Vytautas Magnus University,KA,Kaunas Botanical Garden,,
,126695,University of Keele,KLE,,Biological Sciences Department,
,124412,Dick Institute,KCK,East Ayrshire Museums and Arts,,
,125102,Lahti City Museum,LHT,,,
,125981,Sociedade de Geografia de Lisboa,LIG,,,
,125172,London Natural History Society,LNHS,,,
,124805,"Imperial College of Science, Technology & Medicine",ICST,,Department of Biological Sciences,
,125239,M. Curie-Sklodowska University,LBLC,Institute of Biology,,
,124829,Institut d'Élevage et de Médecine Vétérinaire des Pays Tropicaux,MAIS,,Département de Botanique,
,125425,"Natal Parks, Game, and Fish Preservation Board",NPB,Hluhluwe Game Reserve Research Centre,Research Section,
,126773,University of Nottingham,NHM,,Botany Department,
,124241,"Chambers Institute, Tweeddale Museum",PBS,,,
,125922,Sheffield City Museums,SCM,,,
,125043,Katedralskolan,SK,,,
,125024,Jonkershoek Forestry Research Centre,JF,,Environment Affairs Department,
,125438,National Botanical Institute,STE,,,
,126829,University of Stockholm,SUNIV,Institute of Botany,,
