number,uri
1,/abcd2/terms/Gathering-Aspect-Accuracy
1,/abcd2/terms/Gathering-Altitude-TitleCitation
1,/abcd2/terms/Gathering-Altitude-ReferenceGUID
1,/abcd2/terms/Gathering-Altitude-MeasurementOrFactText-@language
1,/abcd2/terms/GatheringAgentsText-@language
1,/abcd2/terms/GatheringAgent-PreferredName
1,/abcd2/terms/DataSet-Scope
1,/abcd2/terms/datasets
1,/abcd2/terms/DataSet-Owner-Organisation
1,/abcd2/terms/DataSet-License-URI
1,/abcd2/terms/DataSet-IPRDeclarations
1,/abcd2/terms/DataSet-GeoecologicalTerms
1,/abcd2/terms/DataSet-Description-URI
1,/abcd2/terms/DataSet-Creators
1,/abcd2/terms/dataset-copyright-uri
1,/abcd2/terms/DataSet-Copyrights
1,/abcd2/terms/DataSet-Acknowledgements
1,/abcd2/terms/DataSet
1,/abcd2/terms/CultureCollectionUnit-SerovarOrSerotype
1,/abcd2/terms/CultureCollectionUnit-ReferenceGUID
1,/abcd2/terms/CultureCollectionUnit-GrowthConditions
1,/abcd2/terms/CultureCollectionUnit-GrowthConditionAtomised
1,/abcd2/terms/CultureCollectionUnit-FormOfSupply
1,/abcd2/terms/CultureCollectionUnit-Applications
1,/abcd2/terms/CultureCollectionUnit-Aerobicity
1,/abcd2/terms/ContentContact
1,/abcd2/terms/Assemblages
1,/abcd2/terms/AssemblageName-@language
1,/abcd2/terms/AssemblageName
1,/abcd2/terms/AssemblageID
1,/abcd2/terms/AnnotationText
1,/abcd/2.06/ABCD_2.06.xsd/trackback/
1,//abcd/2.06/
1,/abcd/1.2
